fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
100%,K10000,281_760,cell,0.36976549413735343,0.013618833482776968,404,6,398,10000,2944,3226,1480,18,1462,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,37_74,cell,0.7777777777777778,0.41666666666666663,11,2,9,10000,2944,3226,23,1,22,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,42_104,cell,0.4444444444444444,0.16666666666666666,10,1,9,10000,2944,3226,21,1,20,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,7_10,bacterial,,,11,1,10,10000,2944,3226,21,0,21,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,70_211,cell,0.0625,0.0625,17,1,16,10000,2944,3226,44,2,42,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,76_230,biochem,,,19,1,18,10000,2944,3226,29,0,29,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,78_237,cell,,,7,1,6,10000,2944,3226,25,0,25,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,82_243,cell,0.7333333333333333,0.7,8,3,5,10000,2944,3226,19,1,18,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,83_244,biochem,,,18,1,17,10000,2944,3226,52,0,52,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,85_247,cell,0.6964285714285714,0.7564935064935066,15,7,8,10000,2944,3226,29,10,19,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,86_250,cell,0.6666666666666667,0.25,10,1,9,10000,2944,3226,21,1,20,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,88_252,cell,,,32,1,31,10000,2944,3226,67,0,67,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,88_254,cell,0.8,0.5112087912087911,21,5,16,10000,2944,3226,39,3,36,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,92_258,cell,0.5333333333333332,0.6088888888888888,11,5,6,10000,2944,3226,21,6,15,Cells_Number_Object_Number,per_assay_lr,False
