fraction,n_assays,n_valid_assays,n_constant_fallback_assays,mean_auroc_valid,median_auroc_valid,mean_auprc_valid,mean_auroc,median_auroc,auroc_gt_0.9,auroc_gt_0.7,auroc_gt_0.5,fallback_auroc
0.1%,54,2,52,0.45968175037023085,0.45968175037023085,0.09860656352639338,0.4985067314951937,0.5,0,0,0,0.5
1%,54,9,45,0.4749020733283392,0.4621337755666114,0.11916630515119007,0.4958170122213899,0.5,0,1,2,0.5
10%,54,31,23,0.5485549789460497,0.5242383302358311,0.19926686827045878,0.5278741545801396,0.5,0,7,19,0.5
100%,54,45,9,0.6445293590095815,0.6666666666666667,0.3170951800496891,0.6204411325079845,0.5769523104178202,3,18,37,0.5
