Plate,Well,Compound Name,Compound SMILES
24279,J22,DMSO,CS(=O)C
24279,K7,DMSO,CS(=O)C
24279,K8,DMSO,CS(=O)C
24279,K15,DMSO,CS(=O)C
24279,K16,DMSO,CS(=O)C
24279,K23,DMSO,CS(=O)C
24279,K24,DMSO,CS(=O)C
24279,L7,DMSO,CS(=O)C
24279,L8,DMSO,CS(=O)C
24279,L15,DMSO,CS(=O)C
24279,L16,DMSO,CS(=O)C
24279,L23,DMSO,CS(=O)C
24279,L24,DMSO,CS(=O)C
24279,M9,DMSO,CS(=O)C
24279,M10,DMSO,CS(=O)C
24279,M13,DMSO,CS(=O)C
24279,M14,DMSO,CS(=O)C
24279,N9,DMSO,CS(=O)C
24279,N10,DMSO,CS(=O)C
24279,N13,DMSO,CS(=O)C
24279,N14,DMSO,CS(=O)C
24279,O11,DMSO,CS(=O)C
24279,O12,DMSO,CS(=O)C
24279,P11,DMSO,CS(=O)C
24279,P12,DMSO,CS(=O)C
24280,A13,DMSO,CS(=O)C
24280,A14,DMSO,CS(=O)C
24280,B13,DMSO,CS(=O)C
24280,B14,DMSO,CS(=O)C
24280,C11,DMSO,CS(=O)C
24280,C12,DMSO,CS(=O)C
24280,C15,DMSO,CS(=O)C
24280,C16,DMSO,CS(=O)C
24280,D11,DMSO,CS(=O)C
24280,D12,DMSO,CS(=O)C
24280,D15,DMSO,CS(=O)C
24280,D16,DMSO,CS(=O)C
24280,E1,DMSO,CS(=O)C
24280,E2,DMSO,CS(=O)C
24280,E9,DMSO,CS(=O)C
24280,E10,DMSO,CS(=O)C
24280,E17,DMSO,CS(=O)C
24280,E18,DMSO,CS(=O)C
24280,F1,DMSO,CS(=O)C
24280,F2,DMSO,CS(=O)C
24280,F9,DMSO,CS(=O)C
24280,F10,DMSO,CS(=O)C
24280,F17,DMSO,CS(=O)C
24280,F18,DMSO,CS(=O)C
24280,G3,DMSO,CS(=O)C
24280,G4,DMSO,CS(=O)C
24280,G19,DMSO,CS(=O)C
24280,G20,DMSO,CS(=O)C
24280,H3,DMSO,CS(=O)C
24280,H4,DMSO,CS(=O)C
24280,H19,DMSO,CS(=O)C
24280,H20,DMSO,CS(=O)C
