assay_type,n_assays,n_valid_assays,n_fallback_assays,mean_auroc_valid,median_auroc_valid,mean_auroc,median_auroc,auroc_gt_0.9,auroc_gt_0.7,auroc_gt_0.5,fallback_auroc
bacterial,5,5,0,0.604043422377548,0.5937128639334521,0.604043422377548,0.5937128639334521,0,1,4,0.5
cell,32,32,0,0.6001448063692356,0.6449391274435021,0.6001448063692356,0.6449391274435021,1,13,24,0.5
yeast,3,3,0,0.46753747795414463,0.5401785714285714,0.46753747795414463,0.5401785714285714,0,0,2,0.5
fungal,1,1,0,0.6288515406162465,0.6288515406162465,0.6288515406162465,0.6288515406162465,0,0,1,0.5
biochem,13,13,0,0.5323647603858471,0.5089860715890369,0.5323647603858471,0.5089860715890369,1,1,10,0.5
